replicate,champion,instance,state_owner,snapshot_iteration,historical_source,update_rule,affected_probe_count,unaffected_probe_count,affected_probability_tv,unaffected_probability_tv
0,81003,3,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,4,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,5,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,6,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,7,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,0,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,1,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,2,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,3,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,4,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,5,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,6,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,7,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,0,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,1,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,2,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,3,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,4,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,5,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,6,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,7,不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,0,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,1,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,2,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,3,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,4,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,5,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,6,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,7,不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,0,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,1,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,2,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,3,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,4,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,5,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,6,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,7,不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,0,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,1,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,2,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,3,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,4,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,5,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,6,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,7,不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,0,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,1,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,2,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,3,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,4,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,5,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,6,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,7,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,0,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,1,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,2,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,3,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,4,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,5,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,6,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,7,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81001,0,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,1,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,2,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,3,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,4,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,5,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,6,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,7,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,0,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,1,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,2,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,3,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,4,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,5,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,6,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81001,7,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,0,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,1,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,2,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,3,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,4,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,5,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,6,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,7,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,0,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,1,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,2,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,3,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,4,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,5,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,6,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,7,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81002,0,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,1,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,2,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,3,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,4,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,5,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,6,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,7,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,0,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,1,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,2,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,3,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,4,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,5,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,6,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,7,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,0,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,1,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,2,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,3,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,4,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,5,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,6,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,7,GP 表达式自身产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,0,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,1,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
